Quelle est la capitale de la France?,Paris,Lyon,Marseille,Lille,1,Géographie
Quelle est la capitale de l'Espagne?,Madrid,Barcelone,Séville,Valence,2,Géographie
Quelle est la capitale des États-Unis?,Washington,New York,Las Vegas,Boston,2,Géographie
Quelle est la capitale de l'Australie?,Canberra,Sydney,Melbourne,Brisbane,2,Géographie
Quelle est la capitale de la Suède?,Stockholm,Oslo,Helsinki,Copenhague,4,Géographie
Quelle est la capitale du Canade ?,Ottawa,Toronto,Calgary,Montreal,3,Géographie
Quelle est la capitale de l'Égypte?,Le Caire,Alexandrie,Gizeh,Louxor,2,Géographie
Quelle est la capitale de l'Inde ?,New Delhi,Mumbai,Kolkata,Bombay,4,Géographie
Quelle est la capitale du Maroc ?,Rabat,Casablanca,Marrakech,Marocco,4,Géographie
Quelle est la capitale de la Suisse ?,Berne,Zurich,Genèves,Bâle,4,Géographie
Quelle est la plus grande île du monde?,Groenland,Madagascar,Japon,Nouvelle-Zélande,1,Géographie
Quel est le plus long fleuve du monde?,Amazone,Nil,Congo,Mississippi,4,Géographie
Quelle est la plus haute montagne du monde?,Mont Everest,Kilimandjaro,Mont Blanc,Matchu Picchu,1,Géographie
Quel est le plus grand océan de la planète?,Océan Pacifique,Océan Atlantique,Océan Indien,Océan Arctique,2,Géographie
Quelle est la plus grande ville des États-Unis?,New York,Los Angeles,Chicago,Miami,1,Géographie
Quel est le plus grand désert chaud du monde?,Sahara,Atacama,Gobi,Kalahari,1,Géographie
Quelle est la plus grande chaîne de montagnes du monde?,Himalaya,Andes,Alaska,Alpes,1,Géographie
Quel est le plus grand lac d'Afrique?,Victoria,Tanganyika,Malawi,Turkana,10,Géographie
Quelle est la plus grande île de la Méditerranée?,Sicile,Sardaigne,Créte,Chypre,4,Géographie
Quelle est la plus haute cascade du monde?,Angel,Victoria,Iguazu,Niagara,10,Géographie
Quel est le pays le plus peuplé d'Afrique ?,Nigeria,Égypte,Éthiopie,Afrique du Sud,8,Géographie
Dans quel pays se trouve la Grande Muraille ?,Chine,Allemagne,Corée du Sud,Russie,1,Géographie
Quelle est la plus grande ville du Canada ?,Toronto,Vancouver,Montréal,Ottawa,7,Géographie
Dans quel pays se trouve la ville de Dubrovnik (surnommée "la perle de l'Adriatique") ?,Croatie,Slovaquie,Slovénie,Ukraine,10,Géographie
Quelle est la plus haute montagne d'Amérique du Nord ?,Mont McKinley,Mont Rainier,Mont McDonald,Mont Saint Elias,7,Géographie
Dans quel pays se trouve la ville de Louxor ?,Égypte,Grèce,Turquie,Liban,7,Géographie
Dans quel pays se trouve la ville de Petra (célèbre pour ses monuments taillés dans la roche) ?,Jordanie,Égypte,Israël,Turquie,7,Géographie
Dans quel pays se trouve le Taj Mahal ?,Inde,Bangladesh,Népal,Pakistan,4,Géographie
Quel est le pays le plus peuplé du monde ?,Chine,Inde,États-Unis,Russie,1,Géographie
Quel pays ne se situe pas à la fois en Asie et en Europe ?,Ukraine,Russie,Géorgie,Turquie,7,Géographie
Dans quel pays se trouve la ville de Cuzco (ancienne capitale de l'empire inca) ?,Pérou,Équateur,Colombie,Bolivie,8,Géographie
Quel pays est traversé par le fleuve Amazone ?,Brésil,Argentine,Colombie,Équateur,2,Géographie
Quel pays est souvent considéré comme le berceau de la civilisation moderne?,Mésopotamie,Égypte,Grèce,Chine,5,Géographie
